Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Ultra Bronzer,Ilia Beauty,Serum,Monthly,28.05,5.0,4094,100ml,Combination,Male,Tube,Hyaluronic Acid,True,South Korea
Divine Face Oil,Urban Decay,Lip Gloss,Monthly,68.57,3.4,3896,250ml,Sensitive,Male,Jar,Shea Butter,False,South Korea
Divine Primer,Tarte,Concealer,Daily,144.6,2.1,114,200ml,Sensitive,Female,Jar,Aloe Vera,False,Japan
Magic Face Mask,Make Up For Ever,Eye Shadow,Weekly,145.06,3.9,8237,200ml,Combination,Unisex,Compact,Hyaluronic Acid,False,UK
Perfect Eye Shadow,Hourglass,BB Cream,Weekly,29.47,1.8,6841,30ml,Dry,Unisex,Spray,Vitamin C,False,Japan
Divine Face Mask,Drunk Elephant,Eye Shadow,Monthly,99.03,4.0,3641,150ml,Dry,Male,Tube,Salicylic Acid,True,Germany
Divine Exfoliator,Drunk Elephant,Bronzer,Occasional,133.27,2.4,6058,200ml,Sensitive,Male,Tube,Aloe Vera,False,Germany
Perfect Highlighter,Natasha Denona,CC Cream,Monthly,87.82,3.9,3154,200ml,Sensitive,Unisex,Stick,Salicylic Acid,True,UK
Super Face Mask,RMS Beauty,Mascara,Daily,142.81,3.1,669,250ml,Oily,Male,Bottle,Glycerin,True,USA
Perfect Powder,Patrick Ta,Powder,Weekly,91.46,3.6,3547,30ml,Oily,Female,Stick,Retinol,True,Japan
Ultra Contour,Farsali,Lip Liner,Occasional,76.07,3.5,8209,30ml,Combination,Female,Jar,Shea Butter,False,UK
Magic Highlighter,Morphe,Foundation,Monthly,94.77,4.1,7622,30ml,Normal,Male,Tube,Shea Butter,True,USA
Magic CC Cream,Sisley,Face Oil,Weekly,58.62,3.1,3513,50ml,Dry,Female,Compact,Glycerin,False,Italy
Perfect Powder,IT Cosmetics,Moisturizer,Occasional,40.79,3.6,2309,50ml,Oily,Female,Spray,Retinol,True,Japan
Divine Exfoliator,Shiseido,Moisturizer,Occasional,148.52,4.8,2770,30ml,Sensitive,Male,Jar,Salicylic Acid,False,UK
Perfect Eyeliner,Danessa Myricks,Mascara,Daily,95.58,3.4,3210,100ml,Oily,Female,Spray,Aloe Vera,True,Australia
Perfect Powder,Rare Beauty,Concealer,Daily,72.02,3.2,7904,250ml,Sensitive,Female,Bottle,Vitamin C,False,USA
Divine Blush,Yves Saint Laurent,BB Cream,Monthly,77.03,2.9,1123,100ml,Oily,Female,Spray,Glycerin,False,Germany
Super Lipstick,Drunk Elephant,Face Mask,Monthly,22.61,2.4,6893,50ml,Combination,Female,Tube,Shea Butter,False,Italy
Divine Serum,Glossier,Exfoliator,Occasional,109.66,4.9,544,200ml,Sensitive,Male,Compact,Aloe Vera,True,UK
Super Eyeliner,Kiehl’s,Makeup Remover,Weekly,77.02,1.3,294,200ml,Oily,Female,Stick,Shea Butter,True,USA
Perfect Serum,Rare Beauty,Concealer,Monthly,23.89,2.8,4018,100ml,Combination,Female,Tube,Glycerin,False,UK
Divine Powder,Laura Mercier,Primer,Weekly,78.59,4.8,995,200ml,Sensitive,Female,Bottle,Salicylic Acid,False,Italy
Divine Eyeliner,Perricone MD,BB Cream,Monthly,32.05,3.4,7980,30ml,Normal,Male,Jar,Aloe Vera,False,Australia
Magic Face Mask,Hourglass,Blush,Occasional,138.62,4.4,4565,30ml,Normal,Unisex,Spray,Shea Butter,True,Japan
Magic Concealer,Sisley,Primer,Weekly,53.15,2.9,2866,100ml,Combination,Female,Bottle,Salicylic Acid,True,USA
Magic Primer,Fenty Beauty,Makeup Remover,Occasional,47.13,1.6,5183,100ml,Sensitive,Male,Spray,Vitamin C,False,South Korea
Magic Primer,RMS Beauty,Makeup Remover,Daily,83.71,1.6,4739,150ml,Sensitive,Female,Stick,Vitamin C,False,South Korea
Magic Exfoliator,Tarte,Face Mask,Occasional,80.99,1.6,1326,150ml,Oily,Female,Compact,Vitamin C,True,Germany
Perfect Powder,Yves Saint Laurent,Foundation,Daily,99.55,2.5,5389,100ml,Dry,Female,Tube,Retinol,False,South Korea
Super Face Mask,IT Cosmetics,BB Cream,Daily,32.65,3.3,8633,150ml,Dry,Male,Spray,Shea Butter,False,UK
Perfect Contour,Laura Mercier,Serum,Occasional,53.74,3.8,2311,150ml,Normal,Unisex,Stick,Vitamin C,True,Australia
Perfect Lip Gloss,Becca,Mascara,Monthly,52.12,2.2,5218,250ml,Combination,Unisex,Spray,Retinol,False,UK
Super Highlighter,Too Faced,BB Cream,Weekly,23.42,3.0,7249,50ml,Dry,Female,Stick,Glycerin,False,UK
Divine Eye Shadow,Clinique,Contour,Monthly,34.91,1.1,6724,100ml,Dry,Unisex,Jar,Aloe Vera,False,USA
Divine Eye Shadow,Bobby Brown,Serum,Occasional,82.74,4.9,5728,250ml,Normal,Male,Jar,Glycerin,True,Japan
Super Lip Liner,Ilia Beauty,Mascara,Monthly,23.18,2.1,8513,250ml,Combination,Male,Bottle,Retinol,True,Germany
Perfect Face Mask,Glossier,Lip Liner,Monthly,118.9,4.3,5517,200ml,Oily,Unisex,Compact,Hyaluronic Acid,False,France
Super Moisturizer,Juvia’s Place,Setting Spray,Occasional,132.91,2.2,1661,30ml,Dry,Female,Compact,Glycerin,False,France
Divine Face Mask,ColourPop,Makeup Remover,Occasional,38.76,4.0,6157,150ml,Dry,Male,Stick,Aloe Vera,True,Japan
Perfect CC Cream,Too Faced,Highlighter,Monthly,105.55,1.6,8498,50ml,Sensitive,Unisex,Tube,Retinol,False,South Korea
Super Bronzer,Bite Beauty,Eye Shadow,Occasional,81.96,3.9,2450,200ml,Dry,Female,Stick,Salicylic Acid,True,South Korea
Perfect Moisturizer,NARS,Cleanser,Daily,108.75,2.4,9948,250ml,Dry,Male,Spray,Shea Butter,True,South Korea
Magic Lip Liner,Anastasia Beverly Hills,CC Cream,Daily,112.17,1.9,9969,30ml,Normal,Unisex,Spray,Retinol,False,Australia
Magic Lip Gloss,Huda Beauty,Serum,Weekly,55.27,3.3,6488,30ml,Sensitive,Female,Tube,Shea Butter,False,Japan
Divine Face Mask,RMS Beauty,Eyeliner,Monthly,76.56,1.2,3780,200ml,Oily,Female,Tube,Salicylic Acid,False,Germany
Super Highlighter,Glossier,Lip Liner,Daily,53.36,2.4,8981,100ml,Combination,Male,Jar,Retinol,True,Italy
Perfect Foundation,Ilia Beauty,Concealer,Daily,29.81,4.7,610,250ml,Oily,Unisex,Stick,Glycerin,True,USA
Ultra Serum,Natasha Denona,Serum,Weekly,89.3,3.4,2035,100ml,Sensitive,Male,Bottle,Glycerin,False,Italy
Ultra Lipstick,Milk Makeup,Bronzer,Monthly,19.19,2.7,8102,200ml,Combination,Female,Tube,Hyaluronic Acid,True,Australia
Ultra Eye Shadow,Glossier,Bronzer,Monthly,10.99,1.4,7530,50ml,Combination,Male,Compact,Shea Butter,True,France
Divine Makeup Remover,Tarte,Eye Shadow,Daily,44.82,3.6,9368,100ml,Normal,Unisex,Bottle,Aloe Vera,True,France
Ultra Foundation,ColourPop,Face Mask,Daily,119.2,4.7,448,50ml,Dry,Male,Stick,Salicylic Acid,True,France
Perfect Highlighter,Bourjois,Lipstick,Daily,118.98,2.2,3101,30ml,Sensitive,Male,Compact,Shea Butter,True,France
Ultra Concealer,ColourPop,Serum,Monthly,39.31,4.0,4562,250ml,Oily,Female,Bottle,Vitamin C,True,Australia
Magic Cleanser,Hourglass,Bronzer,Weekly,39.28,4.3,361,50ml,Oily,Unisex,Stick,Retinol,True,South Korea
Magic Eye Shadow,Kiehl’s,Concealer,Weekly,13.42,1.4,4355,30ml,Combination,Unisex,Stick,Retinol,False,UK
Divine Cleanser,Danessa Myricks,Eyeliner,Daily,143.85,2.8,2279,50ml,Oily,Unisex,Tube,Glycerin,True,France
Magic Makeup Remover,RMS Beauty,Concealer,Daily,144.0,2.4,1361,250ml,Combination,Unisex,Tube,Aloe Vera,False,France
Super Serum,Fenty Beauty,Eye Shadow,Daily,73.73,2.0,6420,200ml,Oily,Unisex,Spray,Glycerin,False,USA
Perfect Eye Shadow,KVD Beauty,Lip Liner,Monthly,139.51,3.0,4208,200ml,Normal,Unisex,Compact,Glycerin,False,South Korea
Perfect Serum,Sisley,Face Mask,Daily,57.84,4.4,6314,30ml,Normal,Female,Jar,Salicylic Acid,False,Italy
Super Face Oil,Sisley,Blush,Occasional,115.95,1.8,1913,30ml,Normal,Female,Compact,Aloe Vera,False,France
Magic Setting Spray,ColourPop,Serum,Daily,54.67,4.7,6177,200ml,Combination,Unisex,Tube,Shea Butter,True,UK
Perfect BB Cream,RMS Beauty,Foundation,Weekly,11.16,1.7,7255,150ml,Combination,Male,Tube,Hyaluronic Acid,True,South Korea
Super Lipstick,Charlotte Tilbury,Exfoliator,Weekly,83.83,2.5,4536,100ml,Sensitive,Unisex,Spray,Retinol,False,Japan
Magic Contour,Morphe,Eyeliner,Monthly,135.63,3.3,4929,200ml,Normal,Male,Bottle,Glycerin,False,Australia
Ultra Face Oil,KVD Beauty,Exfoliator,Monthly,120.05,1.5,2385,30ml,Combination,Unisex,Bottle,Aloe Vera,False,Japan
Super Exfoliator,Milk Makeup,Powder,Monthly,29.58,4.9,5080,50ml,Combination,Female,Bottle,Salicylic Acid,True,Italy
Perfect Makeup Remover,Perricone MD,Eye Shadow,Weekly,109.08,2.3,4106,250ml,Dry,Male,Jar,Retinol,True,Italy
Ultra Contour,Glossier,Moisturizer,Monthly,96.79,1.7,1467,200ml,Sensitive,Male,Tube,Shea Butter,True,UK
Ultra Contour,Morphe,Blush,Daily,40.94,2.1,5447,50ml,Oily,Unisex,Bottle,Salicylic Acid,False,Germany
Magic BB Cream,Tarte,Mascara,Monthly,124.13,3.6,7436,250ml,Combination,Male,Stick,Shea Butter,False,France
Ultra Lip Gloss,RMS Beauty,Moisturizer,Daily,38.71,1.6,6872,50ml,Normal,Male,Compact,Hyaluronic Acid,False,UK
Perfect Eye Shadow,Make Up For Ever,BB Cream,Daily,120.73,3.2,6460,100ml,Combination,Female,Bottle,Glycerin,True,Italy
Super Primer,Fenty Beauty,Lipstick,Monthly,47.72,2.3,2923,250ml,Oily,Male,Spray,Retinol,False,Germany
Magic Lip Liner,Pat McGrath Labs,Contour,Monthly,48.7,3.6,3495,100ml,Oily,Male,Compact,Aloe Vera,False,USA
Divine Bronzer,Clinique,Bronzer,Monthly,32.01,1.7,3610,250ml,Combination,Female,Tube,Glycerin,False,USA
Magic Contour,RMS Beauty,Eye Shadow,Weekly,97.14,4.2,806,100ml,Normal,Unisex,Jar,Salicylic Acid,False,UK
Ultra Lipstick,Becca,Face Mask,Monthly,73.9,2.0,6344,50ml,Dry,Unisex,Tube,Glycerin,False,USA
Perfect Makeup Remover,ColourPop,Mascara,Occasional,89.07,1.2,2621,30ml,Sensitive,Unisex,Compact,Glycerin,False,Italy
Divine Lip Gloss,Yves Saint Laurent,Mascara,Monthly,21.85,2.6,6279,30ml,Dry,Unisex,Jar,Vitamin C,False,Japan
Perfect Blush,Anastasia Beverly Hills,Bronzer,Weekly,89.41,1.9,5880,100ml,Sensitive,Female,Compact,Retinol,True,Italy
Ultra Makeup Remover,Bourjois,Blush,Occasional,15.62,3.4,2140,250ml,Sensitive,Unisex,Jar,Vitamin C,True,France
Super Face Mask,Laura Mercier,Lip Gloss,Occasional,122.15,3.6,4326,150ml,Dry,Female,Compact,Aloe Vera,False,France
Magic Eyeliner,Tatcha,BB Cream,Weekly,10.25,3.0,5924,200ml,Sensitive,Male,Stick,Salicylic Acid,True,South Korea
Ultra Setting Spray,RMS Beauty,Serum,Monthly,136.33,1.2,127,50ml,Combination,Male,Tube,Salicylic Acid,False,UK
Perfect Setting Spray,Natasha Denona,Highlighter,Weekly,16.27,2.1,2094,50ml,Normal,Male,Jar,Glycerin,True,Australia
Magic Bronzer,NARS,Face Oil,Occasional,22.97,4.4,2675,30ml,Normal,Unisex,Stick,Aloe Vera,True,France
Divine CC Cream,ColourPop,Makeup Remover,Daily,106.81,2.4,8727,150ml,Sensitive,Unisex,Bottle,Vitamin C,True,Italy
